Collector's No,Collector(s),Tissue ID,DNA Sample ID,Order,Family,Genus
2017-13,R. Mause,B GT 0021834,DB 15166,Boraginales,Boraginaceae,Myosotis discolor
,,B GT 0024735,DB 15005,Boraginales,Boraginaceae,Myosotis discolor
36833,K. P. Buttler,B GT 0024947,DB 14753,Boraginales,Boraginaceae,Myosotis discolor
36570,K. P. Buttler,B GT 0017717,DB 14922,Boraginales,Boraginaceae,Myosotis laxa
FJW-2016-0047,"Weicherding,F.-J.",B GT 0017239,DB 13237,Boraginales,Boraginaceae,Myosotis nemorosa
PC 168,P. Ciongwa,B GT 0017457,DB 14803,Boraginales,Boraginaceae,Myosotis nemorosa
36589,K. P. Buttler,B GT 0017734,DB 14924,Probe nicht gefunden,,
MS-TH-10,M. Schön,B GT 0021590,DB 15511,Boraginales,Boraginaceae,Myosotis nemorosa
7375,R. Hand,B GT 0017313,DB 14659,Boraginales,Boraginaceae,Myosotis ramosissima
36232,K. P. Buttler,B GT 0018610,DB 14876,Boraginales,Boraginaceae,Myosotis ramosissima
KPB 36343,"Buttler,K.P. & Hemm,K.",B GT 0018617,DB 14063,Boraginales,Boraginaceae,Myosotis ramosissima
PC 204,P. Ciongwa,B GT 0021420,DB 29503,Boraginales,Boraginaceae,Myosotis ramosissima
2017-40,R. Mause,B GT 0021797,DB 15177,Boraginales,Boraginaceae,Myosotis ramosissima
2017-26,R. Mause,B GT 0021815,DB 15171,Boraginales,Boraginaceae,Myosotis ramosissima
2017-23,R. Mause,B GT 0021820,DB 15170,Boraginales,Boraginaceae,Myosotis ramosissima
24MB,M. Berghofer,B GT 0024252,DB 15652,Boraginales,Boraginaceae,Myosotis rehsteineri
,A. König,B GT 0024593,DB 15619,Boraginales,Boraginaceae,Myosotis rehsteineri
36677,"Buttler,K.P.",B GT 0018458,DB 14187,Boraginales,Boraginaceae,Myosotis scorpioides
,"Kummer,V.",B GT 0018995,DB 14468,Boraginales,Boraginaceae,Myosotis sparsiflora
2017-27,R. Mause,B GT 0021816,DB 15172,Boraginales,Boraginaceae,Myosotis stricta
8279,R. Hand,B GT 0021277,DB 15464,Boraginales,Boraginaceae,Myosotis sylvatica
36852,K. P. Buttler,B GT 0024905,DB 14764,Boraginales,Boraginaceae,Myosotis sylvatica
8290,R. Hand,B GT 0021288,DB 15466,Boraginales,Boraginaceae,Nonea lutea
GBOL-004a,G. Himpel,B GT 0024453,DB 15595,Boraginales,Boraginaceae,Nonea lutea
GBOL-012,G. Himpel GBOL-012 & H. John,B GT 0024456,DB 15561,Boraginales,Boraginaceae,Nonea lutea
8116,"Hand,R.",B GT 0021236,DB 13551,Boraginales,Boraginaceae,Omphalodes scorpioides
8133,"Hand,R.",B GT 0021253,DB 13559,Boraginales,Boraginaceae,Omphalodes scorpioides
,A. König,B GT 0024500,DB 15621,Boraginales,Boraginaceae,Onosma arenaria
FJW-2016-0044,"Weicherding,F.-J.",B GT 0017242,DB 13234,Boraginales,Boraginaceae,Pentaglottis sempervirens
8140,"Hand,R.",B GT 0021260,DB 13565,Boraginales,Boraginaceae,Pulmonaria angustifolia
8138,"Hand,R.",B GT 0021258,DB 13563,Boraginales,Boraginaceae,Pulmonaria mollis
20170402-14,"Höcker,R.",G BT 0021506,DB 14262,Boraginales,Boraginaceae,Pulmonaria mollis
2017-1,R. Mause,B GT 0021822,DB 15161,Boraginales,Boraginaceae,Pulmonaria montana
,,B GT 0024731,DB 14972,Boraginales,Boraginaceae,Pulmonaria montana
PC 112,P. Ciongwa,B GT 0017409,DB 14577,Boraginales,Boraginaceae,Pulmonaria obscura
8120,"Hand,R.",B GT 0021240,DB 13553,Boraginales,Boraginaceae,Pulmonaria obscura
8131,"Hand,R.",B GT 0021251,DB 13557,Boraginales,Boraginaceae,Pulmonaria obscura
36820,K. P. Buttler,B GT 0024938,DB 14738,Boraginales,Boraginaceae,Pulmonaria obscura
20170408-21,"Höcker,R.",G BT 0021498,DB 14266,Boraginales,Boraginaceae,Pulmonaria obscura
PC 128,P. Ciongwa,B GT 0017425,DB 14728,Boraginales,Boraginaceae,Pulmonaria officinalis
2605,O. Appel,B GT 0021901,DB 15400,Boraginales,Boraginaceae,Pulmonaria officinalis
