Nr.,Project code,Isolate,Tube ID 2D,Well,Plate No. (Micronic) 1D,Taxon,Country,Locality,Collector & No.,Herbarium No.,Isolation date & place,Bearbeiter,DNA ng/μl,,comments,,trnL-F,rpl16,trnK/matK,ITS 1&2,NGS,GBoL5 Plate No.,Freezer,Shelf,Tray,Tray Position
GBoL4033,GBoL5,DB 12256,A1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4034,GBoL5,DB 12257,B1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4035,GBoL5,DB 12258,C1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4036,GBoL5,DB 12259,D1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4037,GBoL5,DB 12260,E1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4038,GBoL5,DB 12261,F1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4039,GBoL5,DB 12262,G1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4040,GBoL5,DB 12263,H1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4041,GBoL5,DB 12264,A2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4042,GBoL5,DB 12265,B2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4043,GBoL5,DB 12266,C2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4044,GBoL5,DB 12267,D2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4045,GBoL5,DB 12268,E2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4046,GBoL5,DB 12269,F2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4047,GBoL5,DB 12270,G2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4048,GBoL5,DB 12271,H2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4049,GBoL5,DB 12272,A3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4050,GBoL5,DB 12273,B3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4051,GBoL5,DB 12274,C3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4052,GBoL5,DB 12275,D3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4053,GBoL5,DB 12276,E3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4054,GBoL5,DB 12277,F3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4055,GBoL5,DB 12278,G3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4056,GBoL5,DB 12279,H3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4057,GBoL5,DB 12280,A4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4058,GBoL5,DB 12281,B4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4059,GBoL5,DB 12282,C4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4060,GBoL5,DB 12283,D4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4061,GBoL5,DB 12284,E4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4062,GBoL5,DB 12285,F4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4063,GBoL5,DB 12286,G4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4064,GBoL5,DB 12287,H4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4065,GBoL5,DB 12288,A5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4066,GBoL5,DB 12289,B5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4067,GBoL5,DB 12290,C5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4068,GBoL5,DB 12291,D5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4069,GBoL5,DB 12292,E5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4070,GBoL5,DB 12293,F5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4071,GBoL5,DB 12294,G5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
