Nr.,Project code,Isolate,Tube ID 2D,Well,Plate No. (Micronic) 1D,Taxon,Country,Locality,Collector & No.,Herbarium No.,Isolation date & place,Bearbeiter,DNA ng/μl,,comments,,trnL-F,rpl16,trnK/matK,ITS 1&2,NGS,GBoL5 Plate No.,Freezer,Shelf,Tray,Tray Position
GBoL4072,GBoL5,DB 12295,H5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4073,GBoL5,DB 12296,A6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4074,GBoL5,DB 12297,B6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4075,GBoL5,DB 12298,C6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4076,GBoL5,DB 12299,D6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4077,GBoL5,DB 12300,E6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4078,GBoL5,DB 12301,F6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4079,GBoL5,DB 12302,G6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4080,GBoL5,DB 12303,H6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4081,GBoL5,DB 12304,A7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4082,GBoL5,DB 12305,B7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4083,GBoL5,DB 12306,C7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4084,GBoL5,DB 12307,D7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4085,GBoL5,DB 12308,E7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4086,GBoL5,DB 12309,F7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4087,GBoL5,DB 12310,G7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4088,GBoL5,DB 12311,H7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4089,GBoL5,DB 12312,A8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4090,GBoL5,DB 12313,B8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4091,GBoL5,DB 12314,C8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4092,GBoL5,DB 12315,D8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4093,GBoL5,DB 12316,E8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4094,GBoL5,DB 12317,F8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4095,GBoL5,DB 12318,G8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4096,GBoL5,DB 12319,H8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4097,GBoL5,DB 12320,A9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4098,GBoL5,DB 12321,B9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4099,GBoL5,DB 12322,C9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4100,GBoL5,DB 12323,D9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4101,GBoL5,DB 12324,E9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4102,GBoL5,DB 12325,F9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4103,GBoL5,DB 12326,G9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4104,GBoL5,DB 12327,H9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4105,GBoL5,DB 12328,A10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4106,GBoL5,DB 12329,B10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4107,GBoL5,DB 12330,C10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4108,GBoL5,DB 12331,D10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4109,GBoL5,DB 12332,E10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4110,GBoL5,DB 12333,F10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4111,GBoL5,DB 12334,G10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4112,GBoL5,DB 12335,H10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4113,GBoL5,DB 12336,A11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4114,GBoL5,DB 12337,B11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4115,GBoL5,DB 12338,C11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4116,GBoL5,DB 12339,D11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4117,GBoL5,DB 12340,E11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4118,GBoL5,DB 12341,F11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4119,GBoL5,DB 12342,G11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4120,GBoL5,DB 12343,H11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4121,GBoL5,DB 12344,A12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4122,GBoL5,DB 12345,B12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4123,GBoL5,DB 12346,C12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4124,GBoL5,DB 12347,D12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4125,GBoL5,DB 12348,E12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4126,GBoL5,DB 12349,F12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4127,GBoL5,DB 12350,G12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4128,GBoL5,,,,,Plate 43 control ,,,,,,,,,,,,,,,,,,,,
