Nr.,Project code,Isolate,Tube ID 2D,Well,Plate No. (Micronic) 1D,Taxon,Country,Locality,Collector & No.,Herbarium No.,Isolation date & place,Bearbeiter,DNA ng/μl,,comments,,trnL-F,rpl16,trnK/matK,ITS 1&2,NGS,GBoL5 Plate No.,Freezer,Shelf,Tray,Tray Position
GBoL3937,GBoL5,DB 12161,A1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3938,GBoL5,DB 12162,B1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3939,GBoL5,DB 12163,C1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3940,GBoL5,DB 12164,D1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3941,GBoL5,DB 12165,E1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3942,GBoL5,DB 12166,F1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3943,GBoL5,DB 12167,G1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3944,GBoL5,DB 12168,H1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3945,GBoL5,DB 12169,A2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3946,GBoL5,DB 12170,B2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3947,GBoL5,DB 12171,C2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3948,GBoL5,DB 12172,D2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3949,GBoL5,DB 12173,E2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3950,GBoL5,DB 12174,F2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3951,GBoL5,DB 12175,G2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3952,GBoL5,DB 12176,H2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3953,GBoL5,DB 12177,A3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3954,GBoL5,DB 12178,B3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3955,GBoL5,DB 12179,C3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3956,GBoL5,DB 12180,D3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
