Nr.,Project code,Isolate,Tube ID 2D,Well,Plate No. (Micronic) 1D,Taxon,Country,Locality,Collector & No.,Herbarium No.,Isolation date & place,Bearbeiter,DNA ng/μl,,comments,,trnL-F,rpl16,trnK/matK,ITS 1&2,NGS,GBoL5 Plate No.,Freezer,Shelf,Tray,Tray Position
GBoL3957,GBoL5,DB 12181,E3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3958,GBoL5,DB 12182,F3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3959,GBoL5,DB 12183,G3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3960,GBoL5,DB 12184,H3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3961,GBoL5,DB 12185,A4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3962,GBoL5,DB 12186,B4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3963,GBoL5,DB 12187,C4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3964,GBoL5,DB 12188,D4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3965,GBoL5,DB 12189,E4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3966,GBoL5,DB 12190,F4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3967,GBoL5,DB 12191,G4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3968,GBoL5,DB 12192,H4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3969,GBoL5,DB 12193,A5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3970,GBoL5,DB 12194,B5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3971,GBoL5,DB 12195,C5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3972,GBoL5,DB 12196,D5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3973,GBoL5,DB 12197,E5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3974,GBoL5,DB 12198,F5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3975,GBoL5,DB 12199,G5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3976,GBoL5,DB 12200,H5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3977,GBoL5,DB 12201,A6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3978,GBoL5,DB 12202,B6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3979,GBoL5,DB 12203,C6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3980,GBoL5,DB 12204,D6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3981,GBoL5,DB 12205,E6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3982,GBoL5,DB 12206,F6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3983,GBoL5,DB 12207,G6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3984,GBoL5,DB 12208,H6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3985,GBoL5,DB 12209,A7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3986,GBoL5,DB 12210,B7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3987,GBoL5,DB 12211,C7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3988,GBoL5,DB 12212,D7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3989,GBoL5,DB 12213,E7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3990,GBoL5,DB 12214,F7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3991,GBoL5,DB 12215,G7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3992,GBoL5,DB 12216,H7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3993,GBoL5,DB 12217,A8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3994,GBoL5,DB 12218,B8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3995,GBoL5,DB 12219,C8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3996,GBoL5,DB 12220,D8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3997,GBoL5,DB 12221,E8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3998,GBoL5,DB 12222,F8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL3999,GBoL5,DB 12223,G8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4000,GBoL5,DB 12224,H8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4001,GBoL5,DB 12225,A9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4002,GBoL5,DB 12226,B9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4003,GBoL5,DB 12227,C9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4004,GBoL5,DB 12228,D9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4005,GBoL5,DB 12229,E9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4006,GBoL5,DB 12230,F9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4007,GBoL5,DB 12231,G9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4008,GBoL5,DB 12232,H9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4009,GBoL5,DB 12233,A10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4010,GBoL5,DB 12234,B10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4011,GBoL5,DB 12235,C10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4012,GBoL5,DB 12236,D10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4013,GBoL5,DB 12237,E10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4014,GBoL5,DB 12238,F10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4015,GBoL5,DB 12239,G10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4016,GBoL5,DB 12240,H10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4017,GBoL5,DB 12241,A11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4018,GBoL5,DB 12242,B11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4019,GBoL5,DB 12243,C11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4020,GBoL5,DB 12244,D11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4021,GBoL5,DB 12245,E11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4022,GBoL5,DB 12246,F11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4023,GBoL5,DB 12247,G11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4024,GBoL5,DB 12248,H11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4025,GBoL5,DB 12249,A12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4026,GBoL5,DB 12250,B12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4027,GBoL5,DB 12251,C12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4028,GBoL5,DB 12252,D12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4029,GBoL5,DB 12253,E12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4030,GBoL5,DB 12254,F12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4031,GBoL5,DB 12255,G12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4032,GBoL5,,,,,Plate 42 control ,,,,,,,,,,,,,,,,,,,,
