Nr.,Project code,Isolate,Tube ID 2D,Well,Plate No. (Micronic) 1D,Taxon,Country,Locality,Collector & No.,Herbarium No.,Isolation date & place,Bearbeiter,DNA ng/μl,,comments,,trnL-F,rpl16,trnK/matK,ITS 1&2,NGS,GBoL5 Plate No.,Freezer,Shelf,Tray,Tray Position
GBoL4321,GBoL5,DB 12421,A1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4322,GBoL5,DB 12424,B1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4323,GBoL5,DB 12432,C1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4324,GBoL5,DB 12483,D1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4325,GBoL5,DB 12485,E1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4326,GBoL5,DB 12491,F1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4327,GBoL5,DB 12500,G1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4328,GBoL5,DB 12515,H1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4329,GBoL5,DB 12516,A2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4330,GBoL5,DB 12525,B2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4331,GBoL5,DB 12540,C2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4332,GBoL5,DB 12541,D2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4333,GBoL5,DB 12544,E2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4334,GBoL5,DB 12548,F2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4335,GBoL5,DB 12549,G2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4336,GBoL5,DB 12574,H2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4337,GBoL5,DB 12576,A3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4338,GBoL5,DB 12580,B3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4339,GBoL5,DB 12600,C3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4340,GBoL5,DB 12623,D3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4341,GBoL5,DB 12633,E3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4342,GBoL5,DB 12652,F3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4343,GBoL5,DB 12653,G3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4344,GBoL5,DB 12654,H3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4345,GBoL5,DB 12659,A4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4346,GBoL5,DB 12663,B4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4347,GBoL5,DB 12668,C4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4348,GBoL5,DB 12678,D4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4349,GBoL5,DB 12679,E4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4350,GBoL5,DB 12683,F4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4351,GBoL5,DB 12690,G4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4352,GBoL5,DB 12695,H4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4353,GBoL5,DB 12726,A5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4354,GBoL5,DB 12730,B5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4355,GBoL5,DB 12734,C5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4356,GBoL5,DB 12735,D5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4357,GBoL5,DB 12738,E5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4358,GBoL5,DB 12740,F5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4359,GBoL5,DB 12745,G5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4360,GBoL5,DB 12754,H5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4361,GBoL5,DB 12757,A6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4362,GBoL5,DB 12765,B6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4363,GBoL5,DB 12766,C6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4364,GBoL5,DB 12771,D6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4365,GBoL5,DB 12780,E6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4366,GBoL5,DB 12781,F6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4367,GBoL5,DB 12783,G6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4368,GBoL5,DB 12784,H6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4369,GBoL5,DB 12786,A7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4370,GBoL5,DB 12788,B7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4371,GBoL5,DB 12789,C7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4372,GBoL5,DB 12790,D7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4373,GBoL5,DB 12792,E7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4374,GBoL5,DB 12794,F7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4375,GBoL5,DB 12806,G7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4376,GBoL5,DB 12819,H7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4377,GBoL5,DB 12820,A8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4378,GBoL5,DB 12839,B8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4379,GBoL5,DB 12849,C8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4380,GBoL5,DB 12852,D8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4381,GBoL5,DB 12858,E8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4382,GBoL5,DB 12862,F8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4383,GBoL5,DB 12865,G8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4384,GBoL5,DB 12879,H8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4385,GBoL5,DB 12883,A9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4386,GBoL5,DB 12888,B9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4387,GBoL5,DB 12906,C9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4388,GBoL5,DB 12920,D9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4389,GBoL5,DB 12923,E9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4390,GBoL5,DB 12924,F9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4391,GBoL5,DB 12930,G9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4392,GBoL5,DB 12931,H9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4393,GBoL5,DB 12935,A10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4394,GBoL5,DB 12940,B10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4395,GBoL5,DB 12953,C10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4396,GBoL5,DB 12962,D10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4397,GBoL5,DB 12972,E10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4398,GBoL5,DB 12973,F10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4399,GBoL5,DB 12975,G10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4400,GBoL5,DB 12992,H10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4401,GBoL5,DB 12996,A11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4402,GBoL5,DB 12999,B11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4403,GBoL5,DB 13002,C11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4404,GBoL5,DB 13004,D11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4405,GBoL5,DB 13005,E11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4406,GBoL5,DB 13008,F11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4407,GBoL5,DB 13017,G11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4408,GBoL5,DB 13031,H11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
