Nr.,Project code,Isolate,Tube ID 2D,Well,Plate No. (Micronic) 1D,Taxon,Country,Locality,Collector & No.,Herbarium No.,Isolation date & place,Bearbeiter,DNA ng/μl,,comments,,trnL-F,rpl16,trnK/matK,ITS 1&2,NGS,GBoL5 Plate No.,Freezer,Shelf,Tray,Tray Position
GBoL5185,GBoL5,DB 12615,A1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5186,GBoL5,DB 12720,B1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5187,GBoL5,DB 12861,C1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5188,GBoL5,DB 12990,D1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5189,GBoL5,DB 12584,E1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5190,GBoL5,DB 12636,F1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5191,GBoL5,DB 12816,G1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5192,GBoL5,DB 12856,H1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5193,GBoL5,DB 12912,A2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5194,GBoL5,DB 12932,B2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5195,GBoL5,DB 12934,C2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5196,GBoL5,DB 12949,D2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5197,GBoL5,DB 12966,E2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5198,GBoL5,DB 12979,F2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5199,GBoL5,DB 13068,G2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5200,GBoL5,DB 12502,H2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5201,GBoL5,DB 12505,A3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5202,GBoL5,DB 12507,B3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5203,GBoL5,DB 12513,C3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5204,GBoL5,DB 12524,D3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5205,GBoL5,DB 12537,E3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5206,GBoL5,DB 12538,F3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5207,GBoL5,DB 12547,G3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5208,GBoL5,DB 12859,H3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5209,GBoL5,DB 12416,A4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
