Nr.,Project code,Isolate,Tube ID 2D,Well,Plate No. (Micronic) 1D,Taxon,Country,Locality,Collector & No.,Herbarium No.,Isolation date & place,Bearbeiter,DNA ng/μl,,comments,,trnL-F,rpl16,trnK/matK,ITS 1&2,NGS,GBoL5 Plate No.,Freezer,Shelf,Tray,Tray Position
GBoL5210,GBoL5,DB 12435,B4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5211,GBoL5,DB 12461,C4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5212,GBoL5,DB 12465,D4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5213,GBoL5,DB 12479,E4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5214,GBoL5,DB 12489,F4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5215,GBoL5,DB 12490,G4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5216,GBoL5,DB 12512,H4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5217,GBoL5,DB 12535,A5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5218,GBoL5,DB 12560,B5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5219,GBoL5,DB 12567,C5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5220,GBoL5,DB 12597,D5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5221,GBoL5,DB 12608,E5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5222,GBoL5,DB 12630,F5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5223,GBoL5,DB 12646,G5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5224,GBoL5,DB 12684,H5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5225,GBoL5,DB 12704,A6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5226,GBoL5,DB 12830,B6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5227,GBoL5,DB 12881,C6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5228,GBoL5,DB 12918,D6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5229,GBoL5,DB 12946,E6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5230,GBoL5,DB 12947,F6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5231,GBoL5,DB 13007,G6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5232,GBoL5,DB 13024,H6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5233,GBoL5,DB 13032,A7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5234,GBoL5,DB 13040,B7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5235,GBoL5,DB 13096,C7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5236,GBoL5,DB 12607,D7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5237,GBoL5,DB 12434,E7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5238,GBoL5,DB 12441,F7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5239,GBoL5,DB 12442,G7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5240,GBoL5,DB 12443,H7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5241,GBoL5,DB 12452,A8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5242,GBoL5,DB 12454,B8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5243,GBoL5,DB 12456,C8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5244,GBoL5,DB 12458,D8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5245,GBoL5,DB 12471,E8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5246,GBoL5,DB 12472,F8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5247,GBoL5,DB 12473,G8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5248,GBoL5,DB 12474,H8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5249,GBoL5,DB 12478,A9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5250,GBoL5,DB 12482,B9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5251,GBoL5,DB 12645,C9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5252,GBoL5,DB 12656,D9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5253,GBoL5,DB 12699,E9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5254,GBoL5,DB 12711,F9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5255,GBoL5,DB 12737,G9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5256,GBoL5,DB 12829,H9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5257,GBoL5,DB 12840,A10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5258,GBoL5,DB 12843,B10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5259,GBoL5,DB 12878,C10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5260,GBoL5,DB 12886,D10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5261,GBoL5,DB 12936,E10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5262,GBoL5,DB 12942,F10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5263,GBoL5,DB 12952,G10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5264,GBoL5,DB 12959,H10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5265,GBoL5,DB 13063,A11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5266,GBoL5,DB 13113,B11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5267,GBoL5,DB 13121,C11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5268,GBoL5,DB 13124,D11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5269,GBoL5,DB 13131,E11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5270,GBoL5,DB 12528,F11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5271,GBoL5,DB 12546,G11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5272,GBoL5,DB 12561,H11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5273,GBoL5,DB 12619,A12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5274,GBoL5,DB 12672,B12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5275,GBoL5,DB 12889,C12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5276,GBoL5,DB 12933,D12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5277,GBoL5,DB 12755,E12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5278,GBoL5,DB 12890,F12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5279,GBoL5,DB 13064,G12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL5280,GBoL5,,,,,Plate 55 control ,,,,,,,,,,,,,,,,,,,,
