Nr.,Project code,Isolate,Tube ID 2D,Well,Plate No. (Micronic) 1D,Taxon,Country,Locality,Collector & No.,Herbarium No.,Isolation date & place,Bearbeiter,DNA ng/μl,,comments,,trnL-F,rpl16,trnK/matK,ITS 1&2,NGS,GBoL5 Plate No.,Freezer,Shelf,Tray,Tray Position
GBoL4129,GBoL5,DB 12420,A1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4130,GBoL5,DB 12426,B1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4131,GBoL5,DB 12438,C1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4132,GBoL5,DB 12534,D1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4133,GBoL5,DB 12545,E1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4134,GBoL5,DB 12554,F1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4135,GBoL5,DB 12555,G1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4136,GBoL5,DB 12559,H1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4137,GBoL5,DB 12570,A2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4138,GBoL5,DB 12588,B2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4139,GBoL5,DB 12589,C2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4140,GBoL5,DB 12594,D2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4141,GBoL5,DB 12603,E2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4142,GBoL5,DB 12624,F2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4143,GBoL5,DB 12626,G2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4144,GBoL5,DB 12627,H2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4145,GBoL5,DB 12649,A3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4146,GBoL5,DB 12651,B3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4147,GBoL5,DB 12655,C3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4148,GBoL5,DB 12657,D3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4149,GBoL5,DB 12665,E3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4150,GBoL5,DB 12669,F3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4151,GBoL5,DB 12675,G3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4152,GBoL5,DB 12680,H3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4153,GBoL5,DB 12701,A4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4154,GBoL5,DB 12709,B4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
