Nr.,Project code,Isolate,Tube ID 2D,Well,Plate No. (Micronic) 1D,Taxon,Country,Locality,Collector & No.,Herbarium No.,Isolation date & place,Bearbeiter,DNA ng/μl,,comments,,trnL-F,rpl16,trnK/matK,ITS 1&2,NGS,GBoL5 Plate No.,Freezer,Shelf,Tray,Tray Position
GBoL4155,GBoL5,DB 12715,C4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4156,GBoL5,DB 12718,D4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4157,GBoL5,DB 12719,E4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4158,GBoL5,DB 12721,F4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4159,GBoL5,DB 12725,G4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4160,GBoL5,DB 12729,H4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4161,GBoL5,DB 12733,A5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4162,GBoL5,DB 12746,B5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4163,GBoL5,DB 12753,C5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4164,GBoL5,DB 12759,D5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4165,GBoL5,DB 12762,E5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4166,GBoL5,DB 12776,F5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4167,GBoL5,DB 12796,G5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4168,GBoL5,DB 12797,H5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4169,GBoL5,DB 12821,A6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4170,GBoL5,DB 12823,B6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4171,GBoL5,DB 12834,C6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4172,GBoL5,DB 12868,D6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4173,GBoL5,DB 12869,E6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4174,GBoL5,DB 12870,F6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4175,GBoL5,DB 12876,G6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4176,GBoL5,DB 12892,H6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4177,GBoL5,DB 12925,A7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4178,GBoL5,DB 12926,B7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4179,GBoL5,DB 12929,C7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4180,GBoL5,DB 12968,D7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4181,GBoL5,DB 12971,E7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4182,GBoL5,DB 12984,F7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4183,GBoL5,DB 13014,G7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4184,GBoL5,DB 13059,H7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4185,GBoL5,DB 13091,A8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4186,GBoL5,DB 13093,B8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4187,GBoL5,DB 13105,C8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4188,GBoL5,DB 13117,D8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4189,GBoL5,DB 12436,E8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4190,GBoL5,DB 12449,F8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4191,GBoL5,DB 12530,G8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4192,GBoL5,DB 12568,H8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4193,GBoL5,DB 12578,A9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4194,GBoL5,DB 12617,B9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4195,GBoL5,DB 12618,C9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4196,GBoL5,DB 12620,D9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4197,GBoL5,DB 12666,E9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4198,GBoL5,DB 12716,F9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4199,GBoL5,DB 12722,G9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4200,GBoL5,DB 12727,H9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4201,GBoL5,DB 12756,A10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4202,GBoL5,DB 12767,B10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4203,GBoL5,DB 12768,C10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4204,GBoL5,DB 12773,D10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4205,GBoL5,DB 12803,E10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4206,GBoL5,DB 12805,F10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4207,GBoL5,DB 12808,G10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4208,GBoL5,DB 12831,H10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4209,GBoL5,DB 12844,A11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4210,GBoL5,DB 12847,B11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4211,GBoL5,DB 12857,C11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4212,GBoL5,DB 12875,D11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4213,GBoL5,DB 12891,E11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4214,GBoL5,DB 12894,F11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4215,GBoL5,DB 12898,G11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4216,GBoL5,DB 12899,H11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4217,GBoL5,DB 12907,A12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4218,GBoL5,DB 12941,B12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4219,GBoL5,DB 12976,C12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4220,GBoL5,DB 12994,D12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4221,GBoL5,DB 13010,E12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4222,GBoL5,DB 13019,F12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4223,GBoL5,DB 12817,G12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4224,GBoL5,,,,,Plate 44 control ,,,,,,,,,,,,,,,,,,,,
